nmi,quality_method,meter_number,date,unit_of_measure,tariff_description,00:00-00:30,00:30-01:00,01:00-01:30,01:30-02:00,02:00-02:30,02:30-03:00,03:00-03:30,03:30-04:00,04:00-04:30,04:30-05:00,05:00-05:30,05:30-06:00,06:00-06:30,06:30-07:00,07:00-07:30,07:30-08:00,08:00-08:30,08:30-09:00,09:00-09:30,09:30-10:00,10:00-10:30,10:30-11:00,11:00-11:30,11:30-12:00,12:00-12:30,12:30-13:00,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00,20:00-20:30,20:30-21:00,21:00-21:30,21:30-22:00,22:00-22:30,22:30-23:00,23:00-23:30,23:30-00:00
6203808917,Actual,DZ114328,02/07/2025,kWh,consumption,2.313,2.088,1.588,1.788,0.450,0.650,0.525,0.713,0.588,0.538,0.488,1.350,7.300,6.850,7.000,3.450,1.913,2.013,1.850,1.263,0.588,1.150,1.125,1.188,1.388,1.325,1.150,1.550,1.400,1.338,0.013,0.000,0.313,1.663,1.613,1.413,1.938,2.313,1.338,0.413,0.575,0.413,1.250,2.288,2.188,1.888,1.300,1.300
6203808917,Actual,DZ114328,02/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,03/07/2025,kWh,consumption,1.300,1.388,1.988,1.963,1.738,1.238,0.800,0.575,0.363,0.350,0.325,1.325,1.463,1.675,2.225,2.188,2.038,0.300,0.600,0.375,0.013,0.013,0.025,0.000,0.288,0.263,0.025,0.000,0.013,0.000,0.013,0.000,0.013,0.013,0.000,0.000,0.013,0.313,0.975,0.388,1.675,1.300,0.738,1.363,1.300,2.400,3.138,2.313
6203808917,Actual,DZ114328,03/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.013,0.013,0.013,0.050,0.038,0.000,0.013,0.000,0.013,0.013,0.000,0.013,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,04/07/2025,kWh,consumption,1.763,2.113,2.175,1.975,1.025,1.025,1.025,1.013,1.700,1.925,1.938,3.175,8.688,7.425,7.425,7.475,2.863,1.125,1.188,0.075,0.413,0.038,0.000,0.000,0.000,0.000,0.000,1.025,0.438,0.013,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.038,0.163,2.638,2.538,1.900,2.188,1.725,1.638
6203808917,Actual,DZ114328,04/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.200,0.650,0.950,0.225,0.075,0.050,0.000,0.088,0.475,0.575,0.200,0.013,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,05/07/2025,kWh,consumption,1.613,1.625,1.638,1.650,0.688,0.688,0.675,0.700,0.700,1.663,1.638,1.613,2.738,2.438,2.888,3.375,4.225,2.913,2.188,2.113,2.225,1.175,0.200,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.063,1.175,0.525,0.000,0.188,2.075,2.213,2.150,0.663,0.513,0.600,0.425,1.550,1.613,2.088,2.763,1.913,1.838
6203808917,Actual,DZ114328,05/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.288,0.050,0.588,2.450,2.213,1.988,1.563,0.075,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,06/07/2025,kWh,consumption,1.838,1.913,1.713,1.988,0.825,0.975,1.000,1.188,1.938,3.038,3.413,3.013,4.763,4.675,4.425,3.513,3.250,2.775,1.363,1.000,0.938,0.025,0.050,0.125,0.013,0.188,0.000,0.050,0.013,0.063,0.000,0.013,0.013,0.000,0.013,0.000,0.000,0.325,0.863,0.363,0.363,0.300,1.275,1.263,1.275,1.975,2.213,2.313
6203808917,Actual,DZ114328,06/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.013,0.025,0.013,0.025,0.038,0.013,0.000,0.013,0.013,0.000,0.013,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,07/07/2025,kWh,consumption,1.738,1.850,2.200,2.138,1.988,2.325,2.863,2.550,2.500,2.300,1.575,1.563,2.763,1.225,0.900,1.750,1.825,2.075,0.588,0.225,0.038,0.038,0.000,0.013,0.013,0.000,0.013,0.100,0.000,0.063,0.013,0.000,0.025,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.038,0.013,1.100,1.050,0.438,0.288,0.263,0.275
6203808917,Actual,DZ114328,07/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.025,0.113,0.050,0.025,0.000,0.050,0.013,0.013,0.013,0.000,0.013,0.013,0.000,0.000,0.013,0.013,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,08/07/2025,kWh,consumption,0.250,0.250,0.250,0.275,0.263,0.250,0.263,0.250,0.338,1.225,1.200,1.213,2.813,0.913,0.250,0.438,0.175,0.313,0.063,0.188,0.625,0.025,0.050,0.025,0.088,0.275,0.700,0.500,0.113,0.400,0.013,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.013,0.025,0.000,0.013,0.288,0.288,0.863,1.475,1.450,0.275
6203808917,Actual,DZ114328,08/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.013,0.188,0.113,0.500,0.000,0.000,0.000,0.013,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.013,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,09/07/2025,kWh,consumption,0.263,1.038,1.238,1.225,0.550,0.263,0.263,0.250,0.250,0.263,0.475,1.200,2.900,2.450,0.900,0.225,0.813,0.475,0.363,0.000,0.000,0.000,0.013,0.013,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.025,1.000,0.750,0.413,0.263,0.263,0.788
6203808917,Actual,DZ114328,09/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.050,0.100,0.288,0.188,0.025,0.175,2.250,2.725,1.275,0.275,0.075,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
